Search Name:	timsTOF_JX_Mouse_10ng_90min_msconvert/results1
			timsTOF_JX_Mouse_10ng_90min_msconvert/results1					
[119]		Q8R2S8	CD177_MOUSE	9	12.0	1.7e-10	87091.5	MOUSE	CD177 antigen
[120]		Q62523	ZYX_MOUSE	9	16.7	1.7e-9	60546.5	MOUSE	Zyxin
[121]		Q61210-5	ARHG1_MOUSE	9	11.1	1.5e-10	109249.7	MOUSE	Isoform 5 of Rho guanine nucleotide exchange factor 1
[122]		Q9QXS1	PLEC_MOUSE	12	3.0	4.5e-8	534192.0	MOUSE	Plectin
[123]		Q9Z0N1	IF2G_MOUSE	7	18.6	1.1e-13	51065.9	MOUSE	Eukaryotic translation initiation factor 2 subunit 3, X-linked
[124]		P14211	CALR_MOUSE	9	18.0	1.9e-12	47994.9	MOUSE	Calreticulin
[125]		P26040	EZRI_MOUSE	15	21.3	2.5e-6	69407.4	MOUSE	Ezrin
[125-1]	6	P26043	RADI_MOUSE	14	19.0	1.1e-6	68543.4	MOUSE	Radixin
[125-2]	14	P26041	MOES_MOUSE	21	26.5	3.4e-8	67767.6	MOUSE	Moesin
[126]		P61161	ARP2_MOUSE	10	21.1	3.3e-8	44761.2	MOUSE	Actin-related protein 2
[127]		Q62376	RU17_MOUSE	8	20.1	1.8e-10	51992.5	MOUSE	U1 small nuclear ribonucleoprotein 70 kDa
[128]		P60843	IF4A1_MOUSE	12	28.3	6.2e-8	46154.4	MOUSE	Eukaryotic initiation factor 4A-I
[128-1]	9	Q91VC3	IF4A3_MOUSE	11	28.7	2.8e-12	46840.4	MOUSE	Eukaryotic initiation factor 4A-III
[129]		Q62418	DBNL_MOUSE	10	22.7	1.9e-9	48700.0	MOUSE	Drebrin-like protein
[130]		O55131	SEPT7_MOUSE	8	16.5	6.7e-10	50550.3	MOUSE	Septin-7
[131]		P97351	RS3A_MOUSE	11	38.3	5.6e-10	29885.1	MOUSE	40S ribosomal protein S3a
[132]		P06151	LDHA_MOUSE	10	28.0	2.4e-8	36498.9	MOUSE	L-lactate dehydrogenase A chain
[132-1]	4	P16125	LDHB_MOUSE	5	17.4	6.9e-7	36572.6	MOUSE	L-lactate dehydrogenase B chain
[133]		Q3TBD2	HMHA1_MOUSE	9	9.9	3.5e-8	122903.2	MOUSE	Rho GTPase-activating protein 45
[134]		P10649	GSTM1_MOUSE	9	29.4	6.4e-11	25970.2	MOUSE	Glutathione S-transferase Mu 1
[134-1]	1	P48774	GSTM5_MOUSE	2	8.9	2.2e-4	26635.2	MOUSE	Glutathione S-transferase Mu 5
[135]		P20065-2	TYB4_MOUSE	8	77.3	2.2e-8	5052.7	MOUSE	Isoform Short of Thymosin beta-4
[136]		P23116	EIF3A_MOUSE	10	8.9	5.8e-9	161937.7	MOUSE	Eukaryotic translation initiation factor 3 subunit A
[137]		P42932	TCPQ_MOUSE	12	24.6	2.1e-9	59556.0	MOUSE	T-complex protein 1 subunit theta
[138]		Q921M3	SF3B3_MOUSE	11	7.9	3.8e-7	135551.5	MOUSE	Splicing factor 3B subunit 3
[139]		P18760	COF1_MOUSE	9	29.5	6.4e-12	18559.7	MOUSE	Cofilin-1
[140]		P05064	ALDOA_MOUSE	11	26.6	1.2e-8	39356.3	MOUSE	Fructose-bisphosphate aldolase A
[141]		Q8BJS4	SUN2_MOUSE	12	17.4	1.1e-8	81606.0	MOUSE	SUN domain-containing protein 2
[142]		Q61878	PRG2_MOUSE	7	21.5	1.3e-10	24255.6	MOUSE	Bone marrow proteoglycan
[143]		Q00612	G6PD1_MOUSE	11	23.5	4.5e-11	59263.1	MOUSE	Glucose-6-phosphate 1-dehydrogenase X
[144]		Q8VDL4	ADPGK_MOUSE	7	18.5	8.9e-11	53902.9	MOUSE	ADP-dependent glucokinase
[145]		Q61599	GDIR2_MOUSE	7	23.0	1.5e-11	22851.1	MOUSE	Rho GDP-dissociation inhibitor 2
[146]		Q8BK67	RCC2_MOUSE	12	18.1	3.3e-8	55983.8	MOUSE	Protein RCC2
[147]		Q8CGC7	SYEP_MOUSE	14	10.8	1.8e-7	170080.6	MOUSE	Bifunctional glutamate/proline--tRNA ligase
[148]		P02088	HBB1_MOUSE	7	41.5	3.7e-11	15840.3	MOUSE	Hemoglobin subunit beta-1
[148-1]	1	P02104	HBE_MOUSE	2	15.6	7.0e-5	16136.7	MOUSE	Hemoglobin subunit epsilon-Y2
[149]		P45376	ALDR_MOUSE	10	29.1	5.1e-7	35732.6	MOUSE	Aldose reductase
[149-1]	1	P21300	ALD1_MOUSE	2	5.7	0.0012	35988.7	MOUSE	Aldose reductase-related protein 1
[149-2]	1	P45377	ALD2_MOUSE	2	5.7	0.0012	36120.8	MOUSE	Aldose reductase-related protein 2
[150]		O88342	WDR1_MOUSE	9	11.7	1.4e-8	66407.3	MOUSE	WD repeat-containing protein 1
[151]		Q8VDF2	UHRF1_MOUSE	11	15.1	4.1e-8	88304.4	MOUSE	E3 ubiquitin-protein ligase UHRF1
[152]		Q64737	PUR2_MOUSE	7	6.2	1.6e-9	107504.4	MOUSE	Trifunctional purine biosynthetic protein adenosine-3
[153]		P0DP26	CALM1_MOUSE	7	38.9	1.1e-11	16837.7	MOUSE	Calmodulin-1
[154]		P36552	HEM6_MOUSE	9	22.6	1.6e-9	49715.0	MOUSE	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial
[155]		Q921F2	TADBP_MOUSE	8	17.1	7.9e-11	44548.1	MOUSE	TAR DNA-binding protein 43
[156]		Q60972	RBBP4_MOUSE	8	20.0	4.0e-10	47656.1	MOUSE	Histone-binding protein RBBP4
[156-1]	1	Q60973	RBBP7_MOUSE	4	10.8	5.0e-8	47790.5	MOUSE	Histone-binding protein RBBP7
[157]		P01899	HA11_MOUSE	9	27.3	2.4e-7	40836.6	MOUSE	H-2 class I histocompatibility antigen, D-B alpha chain
[157-1]	1	P01901	HA1B_MOUSE	3	10.3	2.2e-6	41302.2	MOUSE	H-2 class I histocompatibility antigen, K-B alpha chain
[158]		Q04750	TOP1_MOUSE	10	12.5	3.3e-9	90876.5	MOUSE	DNA topoisomerase 1
[159]		P57776	EF1D_MOUSE	8	33.8	6.0e-10	31293.3	MOUSE	Elongation factor 1-delta
[159-1]	2	P57776-2	EF1D_MOUSE	8	31.9	3.3e-8	28729.4	MOUSE	Isoform 2 of Elongation factor 1-delta
[159-2]	2	O70251	EF1B_MOUSE	4	19.1	2.6e-9	24693.9	MOUSE	Elongation factor 1-beta
[160]		Q922R8	PDIA6_MOUSE	9	19.8	1.5e-8	48100.8	MOUSE	Protein disulfide-isomerase A6
[161]		Q3UV74	ITB2L_MOUSE	12	20.9	6.3e-9	81547.5	MOUSE	Integrin beta-2-like protein
[162]		Q9JHU4	DYHC1_MOUSE	16	3.9	5.8e-8	532050.0	MOUSE	Cytoplasmic dynein 1 heavy chain 1
[163]		P49710	HCLS1_MOUSE	9	18.9	3.0e-7	54240.6	MOUSE	Hematopoietic lineage cell-specific protein
[164]		P63242	IF5A1_MOUSE	7	42.9	1.7e-9	16832.4	MOUSE	Eukaryotic translation initiation factor 5A-1
[165]		Q6ZWX6	IF2A_MOUSE	7	25.1	3.7e-18	36108.5	MOUSE	Eukaryotic translation initiation factor 2 subunit 1
[166]		P29391	FRIL1_MOUSE	10	41.0	8.8e-8	20802.6	MOUSE	Ferritin light chain 1
[167]		Q00899	TYY1_MOUSE	6	15.0	4.0e-11	44717.0	MOUSE	Transcriptional repressor protein YY1
[168]		Q8BTI8	SRRM2_MOUSE	7	3.9	1.8e-8	294842.6	MOUSE	Serine/arginine repetitive matrix protein 2
[169]		Q01768	NDKB_MOUSE	7	46.7	5.7e-10	17363.2	MOUSE	Nucleoside diphosphate kinase B
[169-1]	2	P15532	NDKA_MOUSE	7	44.1	5.7e-10	17208.0	MOUSE	Nucleoside diphosphate kinase A
[170]		Q91WJ8	FUBP1_MOUSE	9	16.4	2.4e-10	68540.2	MOUSE	Far upstream element-binding protein 1
[171]		Q6ZQ38	CAND1_MOUSE	11	9.8	5.1e-7	136332.9	MOUSE	Cullin-associated NEDD8-dissociated protein 1
[172]		Q9CW03	SMC3_MOUSE	15	12.7	4.1e-6	141556.9	MOUSE	Structural maintenance of chromosomes protein 3
[173]		P97310	MCM2_MOUSE	8	11.2	2.7e-8	102078.4	MOUSE	DNA replication licensing factor MCM2
[174]		Q8K4Z5	SF3A1_MOUSE	8	10.1	1.8e-9	88545.6	MOUSE	Splicing factor 3A subunit 1
[175]		Q99LX0	PARK7_MOUSE	7	22.8	1.0e-8	20021.5	MOUSE	Protein DJ-1
[176]		Q91VI7	RINI_MOUSE	7	19.3	2.8e-8	49817.0	MOUSE	Ribonuclease inhibitor
[177]		P27005	S10A8_MOUSE	5	73.0	1.2e-10	10294.7	MOUSE	Protein S100-A8
[178]		Q99NB9	SF3B1_MOUSE	13	12.1	1.0e-7	145817.6	MOUSE	Splicing factor 3B subunit 1
[179]		P09411	PGK1_MOUSE	10	28.5	2.8e-10	44550.9	MOUSE	Phosphoglycerate kinase 1
[180]		P17918	PCNA_MOUSE	8	27.2	4.1e-9	28785.1	MOUSE	Proliferating cell nuclear antigen
[181]		Q8CAQ8	MIC60_MOUSE	7	11.4	2.8e-8	83900.8	MOUSE	MICOS complex subunit Mic60
[182]		Q3U0V1	FUBP2_MOUSE	14	21.3	7.6e-8	76776.1	MOUSE	Far upstream element-binding protein 2
[183]		Q02357	ANK1_MOUSE	8	6.0	3.1e-8	204228.9	MOUSE	Ankyrin-1
[184]		Q9QY81	PO210_MOUSE	7	5.3	4.0e-8	204102.4	MOUSE	Nuclear pore membrane glycoprotein 210
[185]		Q9R111	GUAD_MOUSE	10	21.6	1.1e-9	51013.5	MOUSE	Guanine deaminase
[186]		Q60864	STIP1_MOUSE	11	21.4	1.9e-6	62582.7	MOUSE	Stress-induced-phosphoprotein 1
[187]		Q3TEA8	HP1B3_MOUSE	9	19.9	2.9e-8	60867.1	MOUSE	Heterochromatin protein 1-binding protein 3
[188]		Q8VDM4	PSMD2_MOUSE	10	11.0	1.5e-7	100203.5	MOUSE	26S proteasome non-ATPase regulatory subunit 2
[189]		P09405	NUCL_MOUSE	9	13.7	2.4e-9	76723.7	MOUSE	Nucleolin
[190]		Q9CU62	SMC1A_MOUSE	17	13.0	1.1e-6	143236.1	MOUSE	Structural maintenance of chromosomes protein 1A
[191]		Q6PB66	LPPRC_MOUSE	13	8.5	1.8e-7	156616.1	MOUSE	Leucine-rich PPR motif-containing protein, mitochondrial
[192]		P47757	CAPZB_MOUSE	7	29.2	6.0e-8	31345.7	MOUSE	F-actin-capping protein subunit beta
[193]		P26350	PTMA_MOUSE	5	34.2	6.6e-14	12254.2	MOUSE	Prothymosin alpha
[194]		Q8BMS1	ECHA_MOUSE	8	12.3	1.4e-8	82670.6	MOUSE	Trifunctional enzyme subunit alpha, mitochondrial
[195]		Q05144	RAC2_MOUSE	7	30.7	8.1e-7	21441.0	MOUSE	Ras-related C3 botulinum toxin substrate 2
[195-1]	4	P84096	RHOG_MOUSE	5	27.7	1.3e-7	21308.7	MOUSE	Rho-related GTP-binding protein RhoG
[195-2]	3	P63001	RAC1_MOUSE	5	26.0	8.1e-7	21450.3	MOUSE	Ras-related C3 botulinum toxin substrate 1
[195-3]	3	P60766	CDC42_MOUSE	4	22.5	5.9e-7	21258.8	MOUSE	Cell division control protein 42 homolog
[195-4]	2	P60766-1	CDC42_MOUSE	3	17.3	5.9e-7	21310.8	MOUSE	Isoform 1 of Cell division control protein 42 homolog
[196]		Q9CQA3	SDHB_MOUSE	7	19.9	6.5e-11	31814.2	MOUSE	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial
[197]		Q9DCD0	6PGD_MOUSE	10	20.5	2.8e-7	53247.7	MOUSE	6-phosphogluconate dehydrogenase, decarboxylating
[198]		Q9WTM5	RUVB2_MOUSE	9	24.2	4.3e-8	51113.0	MOUSE	RuvB-like 2
[199]		P17710	HXK1_MOUSE	8	7.4	2.7e-8	108304.4	MOUSE	Hexokinase-1
[200]		Q9DBJ1	PGAM1_MOUSE	7	33.5	5.5e-8	28832.2	MOUSE	Phosphoglycerate mutase 1
[201]		O08749	DLDH_MOUSE	7	17.1	1.1e-8	54272.8	MOUSE	Dihydrolipoyl dehydrogenase, mitochondrial
[202]		Q99JI6	RAP1B_MOUSE	8	31.0	7.1e-10	20825.0	MOUSE	Ras-related protein Rap-1b
[202-1]	2	P62835	RAP1A_MOUSE	7	31.0	8.5e-12	20987.4	MOUSE	Ras-related protein Rap-1A
[202-2, 645-2]	3	P35276	RAB3D_MOUSE	4	20.5	1.5e-5	24416.6	MOUSE	Ras-related protein Rab-3D
[203]		Q3U9G9	LBR_MOUSE	6	8.0	1.1e-11	71440.8	MOUSE	Lamin-B receptor
[204]		Q8BFU2	H2A3_MOUSE	7	54.6	7.7e-10	14121.6	MOUSE	Histone H2A type 3
[204-1]	1	Q64523	H2A2C_MOUSE	6	55.0	7.7e-10	13988.5	MOUSE	Histone H2A type 2-C
[204-2]	1	Q6GSS7	H2A2A_MOUSE	6	54.6	7.7e-10	14095.6	MOUSE	Histone H2A type 2-A
[204-3]	2	P0C0S6	H2AZ_MOUSE	4	31.2	1.7e-6	13552.8	MOUSE	Histone H2A.Z
[204-4]	2	Q3THW5	H2AV_MOUSE	4	31.2	1.7e-6	13508.8	MOUSE	Histone H2A.V
[204-5]	2	Q64522	H2A2B_MOUSE	4	40.0	3.4e-4	14013.5	MOUSE	Histone H2A type 2-B
[205]		P63038	CH60_MOUSE	9	16.4	2.5e-7	60956.0	MOUSE	60 kDa heat shock protein, mitochondrial
[206]		P07356	ANXA2_MOUSE	10	23.6	9.0e-7	38676.5	MOUSE	Annexin A2
[207]		Q9R190	MTA2_MOUSE	12	19.0	8.8e-7	75030.7	MOUSE	Metastasis-associated protein MTA2
[208]		Q9D6Z1	NOP56_MOUSE	8	14.0	7.2e-8	64464.9	MOUSE	Nucleolar protein 56
[209]		Q8BT60	CPNE3_MOUSE	9	17.3	2.1e-8	59585.5	MOUSE	Copine-3
[209-1]	2	Q8C166	CPNE1_MOUSE	3	5.4	3.9e-4	58887.0	MOUSE	Copine-1
[210]		Q8C2Q3	RBM14_MOUSE	10	17.2	2.8e-9	69449.2	MOUSE	RNA-binding protein 14
[211]		P14206	RSSA_MOUSE	6	22.7	3.8e-9	32838.4	MOUSE	40S ribosomal protein SA
[212]		P25206	MCM3_MOUSE	7	9.5	2.9e-9	91547.1	MOUSE	DNA replication licensing factor MCM3
[213]		P30416	FKBP4_MOUSE	9	21.8	2.4e-6	51572.8	MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP4
[214]		P35564	CALX_MOUSE	9	16.1	7.4e-7	67278.5	MOUSE	Calnexin
[215]		P62960	YBOX1_MOUSE	6	18.0	2.0e-9	35730.2	MOUSE	Nuclease-sensitive element-binding protein 1
[215-1]	1	Q9JKB3	YBOX3_MOUSE	4	10.5	2.7e-10	38813.9	MOUSE	Y-box-binding protein 3
[215-2]	1	Q9JKB3-2	YBOX3_MOUSE	4	13.0	2.7e-10	30765.1	MOUSE	Isoform 2 of Y-box-binding protein 3
[216]		P70372	ELAV1_MOUSE	6	19.3	6.7e-12	36169.3	MOUSE	ELAV-like protein 1
[217]		P24547	IMDH2_MOUSE	6	15.6	1.9e-8	55815.5	MOUSE	Inosine-5'-monophosphate dehydrogenase 2
[218]		Q99KN9	EPN4_MOUSE	7	12.4	2.4e-7	68513.5	MOUSE	Clathrin interactor 1
[219]		P47738	ALDH2_MOUSE	9	17.5	4.8e-7	56538.0	MOUSE	Aldehyde dehydrogenase, mitochondrial
[220]		P13020-2	GELS_MOUSE	9	12.4	1.3e-8	80763.2	MOUSE	Isoform 2 of Gelsolin
[221]		Q9JKR6	HYOU1_MOUSE	10	12.8	1.9e-7	111182.0	MOUSE	Hypoxia up-regulated protein 1
[222]		O54824	IL16_MOUSE	9	8.9	3.4e-7	141436.1	MOUSE	Pro-interleukin-16
[223]		Q8K1B8	URP2_MOUSE	10	16.8	2.5e-7	75635.2	MOUSE	Fermitin family homolog 3
[224]		Q61191	HCFC1_MOUSE	8	4.7	2.7e-8	210438.9	MOUSE	Host cell factor 1
[225]		P47962	RL5_MOUSE	6	19.2	4.3e-12	34401.0	MOUSE	60S ribosomal protein L5
[226]		P53996-2	CNBP_MOUSE	5	28.2	6.6e-20	18742.2	MOUSE	Isoform 2 of Cellular nucleic acid-binding protein
[226-1]	1	P53996	CNBP_MOUSE	5	27.5	1.1e-12	19592.1	MOUSE	Cellular nucleic acid-binding protein
[227]		P01942	HBA_MOUSE	6	43.0	4.7e-10	15085.3	MOUSE	Hemoglobin subunit alpha
[228]		P97371	PSME1_MOUSE	7	28.5	5.6e-8	28673.2	MOUSE	Proteasome activator complex subunit 1
[229]		P10605	CATB_MOUSE	6	10.3	2.8e-8	37280.2	MOUSE	Cathepsin B
[230]		P62918	RL8_MOUSE	6	23.7	1.2e-11	28024.9	MOUSE	60S ribosomal protein L8
[231]		P80318	TCPG_MOUSE	13	26.1	1.2e-7	60630.6	MOUSE	T-complex protein 1 subunit gamma
[232]		P35979	RL12_MOUSE	5	28.5	3.2e-8	17804.7	MOUSE	60S ribosomal protein L12
[233]		Q93092	TALDO_MOUSE	9	29.1	9.2e-7	37387.3	MOUSE	Transaldolase
[234]		Q9Z1Q5	CLIC1_MOUSE	9	36.9	1.0e-7	27013.1	MOUSE	Chloride intracellular channel protein 1
[235]		O08573	LEG9_MOUSE	7	20.1	6.6e-8	40036.3	MOUSE	Galectin-9
[236]		P83870	PHF5A_MOUSE	3	26.4	5.1e-14	12405.6	MOUSE	PHD finger-like domain-containing protein 5A
[237]		Q9DCX2	ATP5H_MOUSE	5	23.0	3.1e-10	18749.6	MOUSE	ATP synthase subunit d, mitochondrial
[238]		P70441	NHRF1_MOUSE	8	25.1	6.2e-9	38600.4	MOUSE	Na(+)/H(+) exchange regulatory cofactor NHE-RF1
[239]		Q60930	VDAC2_MOUSE	6	24.1	4.9e-13	31733.1	MOUSE	Voltage-dependent anion-selective channel protein 2
[240]		P62137	PP1A_MOUSE	6	16.1	6.7e-10	37540.4	MOUSE	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
[240-1]	1	P62141	PP1B_MOUSE	5	12.8	6.7e-10	37187.2	MOUSE	Serine/threonine-protein phosphatase PP1-beta catalytic subunit
[240-2]	1	P63087	PP1G_MOUSE	5	13.0	6.7e-10	36984.1	MOUSE	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
[240-3]	1	P63087-2	PP1G_MOUSE	5	12.5	6.7e-10	38504.7	MOUSE	Isoform Gamma-2 of Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
[241]		Q9D2M8	UB2V2_MOUSE	6	31.0	2.6e-9	16366.9	MOUSE	Ubiquitin-conjugating enzyme E2 variant 2
[241-1]	2	Q9CZY3	UB2V1_MOUSE	5	30.6	4.2e-9	16354.9	MOUSE	Ubiquitin-conjugating enzyme E2 variant 1
[242]		Q60631	GRB2_MOUSE	7	32.7	1.5e-11	25238.6	MOUSE	Growth factor receptor-bound protein 2
[243]		O08553	DPYL2_MOUSE	7	15.0	1.1e-8	62278.1	MOUSE	Dihydropyrimidinase-related protein 2
[244]		P26645	MARCS_MOUSE	4	21.4	3.8e-11	29661.5	MOUSE	Myristoylated alanine-rich C-kinase substrate
[245]		Q5SQX6	CYFP2_MOUSE	8	6.1	7.2e-10	145660.7	MOUSE	Cytoplasmic FMR1-interacting protein 2
[246]		Q0VGB7	PP4R2_MOUSE	3	7.9	1.1e-14	46479.1	MOUSE	Serine/threonine-protein phosphatase 4 regulatory subunit 2
[247]		Q62318	TIF1B_MOUSE	7	10.2	4.4e-7	88847.9	MOUSE	Transcription intermediary factor 1-beta
[248]		Q61753	SERA_MOUSE	9	21.2	4.9e-7	56586.1	MOUSE	D-3-phosphoglycerate dehydrogenase
[249]		Q99LF4	RTCB_MOUSE	6	12.9	1.1e-8	55249.8	MOUSE	tRNA-splicing ligase RtcB homolog
[250]		Q8R081	HNRPL_MOUSE	7	13.8	1.3e-9	63964.2	MOUSE	Heterogeneous nuclear ribonucleoprotein L
[251]		P70460	VASP_MOUSE	7	24.8	4.2e-10	39666.9	MOUSE	Vasodilator-stimulated phosphoprotein
[252]		Q76MZ3	2AAA_MOUSE	8	14.3	2.5e-11	65323.2	MOUSE	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
[253]		Q9Z1Z0	USO1_MOUSE	7	9.6	1.7e-8	106984.2	MOUSE	General vesicular transport factor p115
[254]		Q3UND0	SKAP2_MOUSE	6	17.0	1.1e-11	40712.4	MOUSE	Src kinase-associated phosphoprotein 2
[255]		Q61646	HPT_MOUSE	9	22.2	1.3e-7	38752.6	MOUSE	Haptoglobin
[256]		P18653	KS6A1_MOUSE	10	17.4	3.6e-7	81595.4	MOUSE	Ribosomal protein S6 kinase alpha-1
[257]		Q61207	SAP_MOUSE	8	14.2	1.3e-11	61422.8	MOUSE	Prosaposin
[258]		Q9Z204-2	HNRPC_MOUSE	11	28.3	9.9e-7	33056.6	MOUSE	Isoform C1 of Heterogeneous nuclear ribonucleoproteins C1/C2
[259]		P62242	RS8_MOUSE	8	40.4	1.2e-8	24205.4	MOUSE	40S ribosomal protein S8
[260]		Q9Z183	PADI4_MOUSE	6	9.8	7.8e-10	74415.9	MOUSE	Protein-arginine deiminase type-4
[261]		Q1HFZ0	NSUN2_MOUSE	8	9.8	1.8e-10	85452.4	MOUSE	tRNA (cytosine(34)-C(5))-methyltransferase
[262]		P19973	LSP1_MOUSE	5	20.0	1.1e-10	36714.1	MOUSE	Lymphocyte-specific protein 1
[263]		Q60668	HNRPD_MOUSE	6	16.3	1.8e-7	38354.4	MOUSE	Heterogeneous nuclear ribonucleoprotein D0
[263-1]	5	Q99020	ROAA_MOUSE	6	17.5	7.1e-8	30831.5	MOUSE	Heterogeneous nuclear ribonucleoprotein A/B
[263-2]	3	Q9Z130	HNRDL_MOUSE	4	13.0	2.8e-8	33559.1	MOUSE	Heterogeneous nuclear ribonucleoprotein D-like
[264]		P08003	PDIA4_MOUSE	10	16.6	5.5e-10	71983.0	MOUSE	Protein disulfide-isomerase A4
[265]		Q8BH61	F13A_MOUSE	6	9.3	1.4e-9	83208.0	MOUSE	Coagulation factor XIII A chain
[266]		P14148	RL7_MOUSE	10	35.6	5.8e-9	31419.9	MOUSE	60S ribosomal protein L7
[267]		O35286	DHX15_MOUSE	14	17.1	1.7e-7	91007.7	MOUSE	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15
[268]		Q8R1Q8	DC1L1_MOUSE	6	11.9	9.0e-10	56614.7	MOUSE	Cytoplasmic dynein 1 light intermediate chain 1
[269]		Q9D0F9	PGM1_MOUSE	7	16.4	2.7e-9	61418.7	MOUSE	Phosphoglucomutase-1
[270]		P62962	PROF1_MOUSE	6	37.9	4.4e-9	14957.4	MOUSE	Profilin-1
[271]		Q8VHR5	P66B_MOUSE	5	11.6	7.1e-11	65411.5	MOUSE	Transcriptional repressor p66-beta
[272]		Q8VE37	RCC1_MOUSE	6	20.0	1.7e-11	44931.4	MOUSE	Regulator of chromosome condensation
[273]		P35441	TSP1_MOUSE	8	8.8	2.1e-10	129648.5	MOUSE	Thrombospondin-1
[274]		P14152	MDHC_MOUSE	5	20.1	3.8e-9	36511.5	MOUSE	Malate dehydrogenase, cytoplasmic
[275]		Q9CVB6	ARPC2_MOUSE	11	32.7	6.9e-7	34357.4	MOUSE	Actin-related protein 2/3 complex subunit 2
[276]		Q920B9	SP16H_MOUSE	10	10.2	9.7e-8	119825.7	MOUSE	FACT complex subunit SPT16
[277]		Q05816	FABP5_MOUSE	5	34.1	6.3e-13	15137.6	MOUSE	Fatty acid-binding protein, epidermal
[278]		Q9ERK4	XPO2_MOUSE	8	10.8	1.2e-8	110455.6	MOUSE	Exportin-2
[279]		Q9DBG5	PLIN3_MOUSE	7	19.2	2.4e-9	47262.6	MOUSE	Perilipin-3
[280]		O70145	NCF2_MOUSE	7	14.1	7.7e-9	59485.9	MOUSE	Neutrophil cytosol factor 2
[281]		Q8BGB5	LIMD2_MOUSE	4	30.5	2.1e-11	14237.3	MOUSE	LIM domain-containing protein 2
[282]		O70138	MMP8_MOUSE	8	14.6	1.8e-7	53126.3	MOUSE	Neutrophil collagenase
[283]		Q9Z1N5	DX39B_MOUSE	8	18.7	2.2e-7	49035.8	MOUSE	Spliceosome RNA helicase Ddx39b
[283-1]	1	Q8VDW0	DX39A_MOUSE	8	18.0	2.2e-7	49067.9	MOUSE	ATP-dependent RNA helicase DDX39A
[284]		Q9CX34	SGT1_MOUSE	4	13.4	2.8e-11	38159.2	MOUSE	Protein SGT1 homolog
[285]		P05202	AATM_MOUSE	9	19.5	1.8e-6	47411.8	MOUSE	Aspartate aminotransferase, mitochondrial
[286]		P62827	RAN_MOUSE	7	26.9	1.7e-7	24423.3	MOUSE	GTP-binding nuclear protein Ran
[287]		P08249	MDHM_MOUSE	10	31.4	1.3e-7	35611.8	MOUSE	Malate dehydrogenase, mitochondrial
[288]		P47911	RL6_MOUSE	8	23.0	4.8e-9	33509.9	MOUSE	60S ribosomal protein L6
[289]		P11672	NGAL_MOUSE	5	12.5	1.5e-9	22875.2	MOUSE	Neutrophil gelatinase-associated lipocalin
[290]		P00920	CAH2_MOUSE	5	20.8	1.6e-9	29032.8	MOUSE	Carbonic anhydrase 2
[291]		Q8BWT1	THIM_MOUSE	6	16.6	1.4e-8	41830.2	MOUSE	3-ketoacyl-CoA thiolase, mitochondrial
[292]		O70310	NMT1_MOUSE	6	13.7	1.2e-8	56888.9	MOUSE	Glycylpeptide N-tetradecanoyltransferase 1
[293]		P50247	SAHH_MOUSE	7	19.0	4.3e-7	47688.6	MOUSE	Adenosylhomocysteinase
[294]		P26443	DHE3_MOUSE	8	14.3	2.0e-5	61337.3	MOUSE	Glutamate dehydrogenase 1, mitochondrial
[295]		Q99K48	NONO_MOUSE	7	16.5	4.5e-10	54541.4	MOUSE	Non-POU domain-containing octamer-binding protein
[296]		Q8QZT1	THIL_MOUSE	7	18.4	7.1e-9	44816.5	MOUSE	Acetyl-CoA acetyltransferase, mitochondrial
[297]		O08709	PRDX6_MOUSE	9	32.1	1.2e-6	24870.9	MOUSE	Peroxiredoxin-6
[298]		O55201	SPT5H_MOUSE	4	5.5	4.3e-10	120665.2	MOUSE	Transcription elongation factor SPT5
[299]		Q9D1J3	SARNP_MOUSE	5	29.5	4.8e-11	23532.9	MOUSE	SAP domain-containing ribonucleoprotein
[300]		Q09014	NCF1_MOUSE	5	15.9	1.4e-10	44667.3	MOUSE	Neutrophil cytosol factor 1
[301]		P11983	TCPA_MOUSE	12	24.6	2.7e-6	60449.2	MOUSE	T-complex protein 1 subunit alpha
[302]		P16330	CN37_MOUSE	9	19.5	2.4e-8	47123.7	MOUSE	2',3'-cyclic-nucleotide 3'-phosphodiesterase
[303]		P28063	PSB8_MOUSE	5	22.5	1.6e-11	30260.5	MOUSE	Proteasome subunit beta type-8
[304]		P49718	MCM5_MOUSE	9	15.6	3.2e-7	82343.6	MOUSE	DNA replication licensing factor MCM5
[305]		P68040	RACK1_MOUSE	8	24.9	1.0e-6	35077.0	MOUSE	Receptor of activated protein C kinase 1
[306]		P80315	TCPD_MOUSE	9	17.6	1.2e-7	58066.9	MOUSE	T-complex protein 1 subunit delta
[306-1]	11	P80316	TCPE_MOUSE	12	21.6	1.2e-5	59624.6	MOUSE	T-complex protein 1 subunit epsilon
[307]		P32067	LA_MOUSE	8	16.4	1.5e-8	47756.9	MOUSE	Lupus La protein homolog
